工况,半长轴 a (km),偏心率 e,倾角 i (°),升交点赤经 Ω (°),近地点幅角 ω (°),真近点角 ν (°)
名义入轨,6871.31,0.001104,97.39,107.40,176.31,112.17
轻度故障重规划,6872.16,0.001103,97.43,107.43,176.71,111.76
中度故障重规划,6591.99,0.012033,97.49,107.48,140.26,156.34
重度故障重规划,3188.31,0.998987,69.07,53.67,247.53,180.05
