time_s,altitude_km,speed_kms,flight_path_deg,dynamic_pressure_kpa,normal_load_g,thrust_kN,cone_margin_deg,rx,ry,rz,vx,vy,vz,mass
0.0,0.0,0.35083620783758335,0.0,0.0,1.8067236501451913,541.2820430769232,0.0,-858595.7316406588,4733939.728371377,4176394.2603345737,-345.204371628986,-62.60979586368981,0.0,30550.0
1.0,0.003980736590921879,0.350926326676,1.3036159759820276,0.039025914459453664,1.8203362133044163,541.2820430769232,0.0,-858941.4710906777,4733880.069280218,4176396.863502507,-346.2774383765573,-56.69183711440631,5.220922358532255,30319.863076923077
2.0,0.016011463389731945,0.3511573066167254,2.627837516235264,0.15853673830894777,1.8339470761419285,541.2820430769232,0.0,-859288.2593568601,4733826.32291182,4176404.799604738,-347.301923019396,-50.78448478160145,10.666037821503739,30089.726153846153
3.0,0.03622370177879929,0.351537505890448,3.971361233245458,0.3619707315328252,1.8475471552835911,541.2820430769232,0.0,-859636.0472247255,4733778.477105722,4176418.2931936667,-348.27656037985884,-44.890856625876104,16.336049982978416,29859.58923076923
4.0,0.06474687153752894,0.35207533396958063,5.332753809776111,0.6524500229163852,1.861127924577627,541.2820430769232,0.0,-859984.7842111866,4733736.516544271,4176437.56947112,-349.2000787934876,-39.01414809452293,22.231554351246473,29629.452307692307
5.0,0.10170816456340254,0.352779208084717,6.710452307513654,1.0327379695717986,1.874681550401713,541.2820430769232,0.0,-860334.4185591389,4733700.422678396,4176462.854181071,-350.071202266333,-33.15762527429559,28.35304016950643,29399.315384615384
6.0,0.14723242606781423,0.3536575084223269,8.102766197545824,1.5051972647921743,1.88820103137252,541.2820430769232,0.0,-860684.8972342147,4733670.173660801,4176494.373504817,-350.88865264164616,-27.324617092321947,34.70089352706037,29169.17846153846
7.0,0.20144204468745738,0.3547185327228583,9.507881204276595,2.0717493269534275,1.9016803412650427,541.2820430769232,0.0,-861036.1659236968,4733645.744287325,4176532.353959948,-351.6511517476964,-21.518506802836335,41.27540183392992,28939.041538461537
8.0,0.26445685292128474,0.3559704510769006,10.923865011572117,2.7338355145681095,1.9151145738382003,541.2820430769232,0.0,-861388.1690375579,4733627.105947152,4176577.0223044935,-352.35742349657716,-15.74272280846787,48.07675972152893,28708.904615384614
9.0,0.3363940393170342,0.3574212617776552,12.348674831103237,3.4923807155316453,1.9285000881701198,541.2820430769232,0.0,-861740.8497115613,4733614.2265825,4176628.605447709,-353.00619590227774,-10.000728875831387,55.10507642028976,28478.76769230769
10.0,0.4173680738033727,0.35907874912632287,13.780166779762222,4.3477598514214915,1.9418346530346657,541.2820430769232,0.0,-862094.1498123257,4733607.07065838,4176687.330368992,-353.59620298507724,-4.296013815920043,62.360384652070465,28248.630769230767
11.0,0.5074906475292519,0.36095044409949006,15.21610695792147,5.2997678200225975,1.9551178747051607,541.2820430769232,0.0,-862448.009944223,4733605.5991429,4176753.4240464587,-354.1261865284955,1.3679192899200938,69.84265106094256,28018.493846153844
12.0,0.6068666855245829,0.36302766401219894,16.653635298555013,6.3476431384449965,1.9683505006388577,541.2820430769232,0.0,-862802.3569475411,4733609.747081577,4176827.1353713204,-354.5698493792689,6.942681034715963,77.59578551291825,27788.35692307692
13.0,0.7155934243574739,0.365317690770274,18.090252219350276,7.490053694153282,1.9815350508945642,541.2820430769232,0.0,-863157.1036174276,4733619.42266619,4176908.734856352,-354.9254267570232,12.423004774587838,85.61907254485435,27558.219999999998
14.0,0.8337634498113766,0.3678276105782889,19.523384921918648,8.725061643626075,1.9946758740848096,541.2820430769232,0.0,-863512.1609945836,4733634.528829189,4176998.4922584677,-355.1911747349114,17.803640498410978,93.91171854018184,27328.083076923074
15.0,0.9614646712718532,0.37056428967669774,20.950398980221475,10.050110606987241,2.0077792619825297,541.2820430769232,0.0,-863867.4383866354,4733654.963266134,4177096.6765083214,-355.3653712074011,23.079366410325466,102.47286751291533,27097.94615384615
16.0,1.098780315734446,0.3735343547399667,22.368610837198556,11.462017987301763,2.0208535550737285,541.2820430769232,0.0,-864222.8433902632,4733680.61846958,4177203.555656484,-355.44631643115144,28.245000201163386,111.30161845258736,26867.809230769228
17.0,1.2457889420846477,0.37674417842119606,23.775301009866162,12.956972647905307,2.03390923782043,541.2820430769232,0.0,-864578.2819136418,4733711.381774012,4177319.3968377085,-355.4323331028632,33.295409866007596,120.39704415462971,26637.672307692304
18.0,1.4025644761463627,0.3801998704207413,25.16772779514351,14.530538106739908,2.0469590225315772,541.2820430769232,0.0,-864933.658198715,4733747.135411316,4177444.466254736,-355.3217659415659,38.225523924892045,129.7582114426022,26407.53538461538
19.0,1.5691762668127194,0.38390727433561656,26.543141270420588,16.17766132835614,2.060017920895164,541.2820430769232,0.0,-865288.8748427908,4733787.756576109,4177579.029182968,-355.1129807469489,43.03034090555822,139.3842026715039,26177.398461538458
20.0,1.7456891633896157,0.38787197041758575,27.898797394421354,17.892687113952398,2.0731033023988448,541.2820430769232,0.0,-865643.8328189242,4733833.117500128,4177723.3499972383,-354.8043629099688,47.70493795116738,149.27413838554537,25947.261538461535
21.0,1.9321636140923948,0.3920992842358621,29.231972034598932,19.669378009476397,2.086230876764967,541.2820430769232,0.0,-865998.4314945284,4733883.085534735,4177877.6922217514,-354.39431535698907,52.244478421863164,159.42720098952333,25717.12461538461
22.0,2.128665125440806,0.3966101038799886,30.54176423020383,21.50100949950983,2.099426612032542,541.2820430769232,0.0,-866352.582636982,4733937.550843298,4178042.298675011,-353.9092620442126,56.69947813773459,169.8027618088845,25486.987692307688
23.0,2.335265436338261,0.4014083365677781,31.825813150417396,23.38000112505332,2.1127159060038343,541.2820430769232,0.0,-866706.210701205,4733996.427473584,4178217.391981153,-353.34812566017536,61.06713727663207,180.40110726763425,25256.850769230765
24.0,2.5520343566359953,0.406497587237013,33.081856973852695,25.29824531253867,2.1261267419786045,541.2820430769232,0.0,-867059.2390647361,4734059.626727032,4178403.1951449113,-352.70982819582497,65.34476397237304,191.2227166028647,25026.71384615384
25.0,2.77903998570703,0.41188120227338837,34.30774436003156,27.247149080125492,2.1396896776166776,541.2820430769232,0.0,-867411.5900252037,4734127.057269017,4178599.931757581,-351.99328720974313,69.52977874536205,202.26828820423677,24796.57692307692
26.0,3.016348950804211,0.4175623180109253,35.501444295848806,29.217679980767087,2.153437819654251,541.2820430769232,0.0,-867763.1847938418,4734198.625242977,4178807.826229401,-351.1974116532682,73.61971778575469,213.53876609142392,24566.439999999995
27.0,3.2640266642859204,0.42354391311105916,36.66105433686964,31.200415808240216,2.1674067850454053,541.2820430769232,0.0,-868113.9434846153,4734274.234387215,4179027.104048421,-350.3210972659954,77.61223502908635,225.0353663706381,24336.30307692307
