time_s,altitude_km,speed_kms,flight_path_deg,dynamic_pressure_kpa,normal_load_g,thrust_kN,cone_margin_deg,rx,ry,rz,vx,vy,vz,mass
0.0,0.0,0.35083620783758335,0.0,0.0,1.8357477844179277,540.5981538461539,0.0,-858595.7316406588,4733939.728371377,4176394.2603345737,-345.204371628986,-62.60979586368981,0.0,30029.0
1.0,0.004123768477700651,0.35093295231313865,1.3504252189631336,0.041879322300195164,1.8497969288482015,540.5981538461539,0.0,-858941.4903665469,4733880.175559342,4176396.957264491,-346.31608628973504,-56.47874860295565,5.408914162801194,29799.153846153848
2.0,0.016586910168640317,0.35126227201209903,2.72155760053502,0.17011539920639457,1.863835266866887,540.5981538461539,0.0,-859288.3859313612,4733826.802093383,4176405.1082564197,-347.47808785620117,-50.251121465813824,10.908115800998853,29569.307692307695
3.0,0.03752707283385098,0.3518338562600053,4.111313348944114,0.38832355110933486,1.8778528729970507,540.5981538461539,0.0,-859636.4688548904,4733779.704443228,4176418.8035428645,-348.6908390064986,-43.92714665743063,16.497484361765963,29339.461538461543
4.0,0.06708167425170541,0.3526569865929483,5.517447426420326,0.6997047047738664,1.8918406256127354,540.5981538461539,0.0,-859985.7901122841,4733738.978810923,4176438.1332044574,-349.9547878574882,-37.5071263395275,22.17683751552709,29109.61538461539
5.0,0.10538781212177127,0.3537404638459612,6.9375706306743306,1.1069980398109238,1.9057903676151633,540.5981538461539,0.0,-860336.4011198053,4733704.721064049,4176463.187110932,-351.2703686423601,-30.991426082218542,27.94593682821525,28879.769230769238
6.0,0.15258218343928456,0.3550925400191702,8.36917002767235,1.6124352352410927,1.9196950704605529,540.5981538461539,0.0,-860688.3537214167,4733677.026676076,4176494.054868289,-352.6380027053881,-24.38046714839171,33.804494477019944,28649.923076923085
7.0,0.20880101493932307,0.3567208566873995,9.809632387123477,2.217696936949631,1.9335490000149025,540.5981538461539,0.0,-861041.7001765292,4733655.990675022,4176530.8257732047,-354.05809983307137,-17.67471759511808,39.75218102595002,28420.076923076933
8.0,0.27418000625446437,0.3586323916239032,11.25627013872002,2.9238720690524787,1.947347882605427,540.5981538461539,0.0,-861396.4931492567,4733641.707601597,4176573.588775753,-355.5310599386765,-10.874682188145153,45.78863426734549,28190.23076923078
9.0,0.34885428739711644,0.3608334151420971,12.706349253624829,3.7314206027633863,1.961089069557577,540.5981538461539,0.0,-861752.7856995376,4733634.271478034,4176622.432451494,-357.05727511465005,-3.9808911377410325,51.9134691246842,27960.384615384628
10.0,0.4329583921805024,0.3633294574257187,14.157118365942306,4.640140374787863,1.974771698454109,540.5981538461539,0.0,-862110.6312764988,4733633.775788758,4176677.444983995,-358.63713206451774,3.006112323190739,58.12628860081444,27730.538461538476
11.0,0.5266262491624802,0.36612528782761017,15.605838389495231,5.649138513419839,1.9883980761400593,540.5981538461539,0.0,-862470.0837144438,4733640.313474046,4176738.7141588083,-360.2710149227584,10.08578548492906,64.42669574429502,27500.692307692323
12.0,0.6299885059557855,0.36943170779682805,17.03910463963625,6.7567011870190195,2.00197247900185,540.5981538461539,0.0,-862831.3039654236,4733653.955462727,4176806.3255623686,-362.1730120692893,17.21460330192449,70.8106876643403,27270.84615384617
13.0,0.7431709367157892,0.37324857586368365,18.45161394636141,7.960351707681445,2.015500712640443,540.5981538461539,0.0,-863194.5616717516,4733674.749140353,4176880.3615174335,-364.34617167966735,24.389053511171127,77.27574415990833,27041.00000000002
14.0,0.866295518156141,0.37757390831533705,19.83840725941071,9.256951550868228,2.0289907199121795,540.5981538461539,0.0,-863560.1294938272,4733702.738380904,4176960.9018225204,-366.79348257335687,31.605627986727384,83.81933942588479,26811.153846153866
15.0,0.9994804332945496,0.3824040180955824,21.194934007589247,10.642695740103065,2.0424526867038626,540.5981538461539,0.0,-863928.283053368,4733737.963558949,4177048.0237535466,-369.5178796466895,38.86083886170846,90.43895665046985,26581.307692307713
16.0,1.142840098021552,0.38773368354031174,22.517101823850368,12.113113983983709,2.0558991361409076,540.5981538461539,0.0,-864299.3008828504,4733780.461578119,4177141.8020803593,-372.52225086631137,46.15123502529634,97.13210317333541,26351.46153846156
17.0,1.2964852112727239,0.39355633991414435,23.801310917141684,13.663077690558204,2.0693450100945383,540.5981538461539,0.0,-864673.4643827372,4733830.265916222,4177242.309098653,-375.80944584711926,53.473418854650745,103.89632608852823,26121.61538461541
18.0,1.4605228293826804,0.3998642864364693,25.04447324522775,15.286812900207966,2.0828077370565383,540.5981538461539,0.0,-865051.057788079,4733887.406687133,4177349.6146776634,-379.38228602900386,60.824063034268775,110.7292281683441,25891.769230769256
19.0,1.635056465039961,0.406648901660369,26.244017398451728,16.977919093110096,2.0963072856555987,540.5981538461539,0.0,-865432.3681460957,4733951.910719488,4177463.7863238906,-383.24357645421867,68.19992731038855,117.62848397825091,25661.923076923104
20.0,1.8201862110346556,0.4139008606193477,27.397880695488624,18.729393743494946,2.109866203300914,540.5981538461539,0.0,-865817.6853063287,4734023.801652037,4177584.889260976,-387.3961191332039,75.59787502537839,124.59185604852541,25432.07692307695
21.0,2.0160088887894525,0.42161034798562874,28.504490396333896,20.533662412435696,2.1235096396540882,540.5981538461539,0.0,-866207.3019249449,4734103.100045352,4177712.986525724,-391.8427279720319,83.01488927665422,131.6172109656787,25202.2307692308
22.0,2.2226182214627044,0.42976726248397484,29.562736155713466,22.38261409599859,2.1372653548449003,540.5981538461539,0.0,-866601.5134847299,4734189.823509449,4177848.1390801156,-396.5862452198652,90.4480885464584,138.7025352460103,24972.384615384646
23.0,2.4401050312109294,0.4383614088763097,30.571935890454778,24.267641478271095,2.1511637125541765,540.5981538461539,0.0,-867000.6183322683,4734283.986846705,4177990.40593903,-401.62955938034514,97.89474165271821,145.84595085473092,24742.538461538494
24.0,2.6685574599541724,0.4473826748896828,31.53179714755541,26.179685681003164,2.165237658281552,540.5981538461539,0.0,-867404.9177337366,4734385.602209331,4178139.8443132527,-406.9756245169832,105.35228187703083,153.04573023695156,24512.69230769234
25.0,2.9080612128470094,0.45682119143832417,32.44237587169586,28.10928505451955,2.1795226832922565,540.5981538461539,0.0,-867814.7159506654,4734494.679270499,4178296.5097672166,-412.62748086966496,112.81832013340473,160.30031073132977,24282.84615384619
26.0,3.1586998234111814,0.46666747534616393,33.30403421797123,30.046627519945538,2.1940567748880033,540.5981538461539,0.0,-868230.3203369352,4734611.225408115,4178460.4563907953,-418.58827668749257,120.2906570504875,167.608308243117,24053.000000000036
27.0,3.420554939144291,0.4769125544858043,34.117398770265744,31.98160595067921,2.2088803537698714,540.5981538461539,0.0,-868652.0414581683,4734735.2459000675,4178631.7369843507,-424.8612911725217,127.76729385035286,174.96853006055264,23823.153846153884
28.0,3.6937066262094302,0.48754807580682913,34.883320234685215,33.903876072793715,2.224036199348701,540.5981538461539,0.0,-869080.1932345734,4734866.744129717,4178810.4032561234,-431.4499584195748,135.24644191820104,182.379986706753,23593.30769230773
29.0,3.978233691708185,0.4985663971364651,35.60283540072835,35.80291636854168,2.239569363911146,540.5981538461539,0.0,-869515.0931081766,4735005.721800264,4178996.50603095,-438.3578922292536,142.7265309692241,189.84190272817193,23363.46153846158
30.0,4.2742140218382705,0.5099606639133711,36.2771319137119,37.66808948509264,2.2555270765613344,540.5981538461539,0.0,-869957.0622352491,4735152.179156537,4179190.0954692024,-445.5889116645004,150.20621573106223,197.3537263300745,23133.615384615427
31.0,4.58172493414674,0.5217248721799115,36.907516187834226,39.48870468033095,2.2719586378308367,540.5981538461539,0.0,-870406.4257046054,4735306.115212701,4179391.2212947467,-453.147067215477,157.68438107239783,204.91513777896375,22903.769230769274
32.0,4.900843541962095,0.5338539192306041,37.49538461297152,41.25408087837378,2.288915305781529,540.5981538461539,0.0,-870863.5127823143,4735467.5279842885,4179599.9330306635,-461.0366674330074,165.1601455199684,212.52605650123434,22673.92307692312
33.0,5.231647129000165,0.5463436433150849,38.042198069225336,42.953609957696145,2.3064501743188464,540.5981538461539,0.0,-871328.6571832164,4735636.414722921,4179816.280241386,-469.26230588717675,172.63286311732787,220.1866468162055,22444.07692307697
34.0,5.574213532024994,0.5591908537416403,38.54945965848262,44.576819952880044,2.3246180442881377,540.5981538461539,0.0,-871802.1973695029,4735812.7721520495,4180040.3127798648,-477.82888830467203,180.1021235887601,227.8973222498345,22214.230769230817
35.0,5.9286215294022115,0.5723933526383207,39.01869548759353,46.11343791466236,2.343475287748833,540.5981538461539,0.0,-872284.4768764586,4735996.596701988,4180272.081038318,-486.74165973582865,187.5677507806173,235.65874838258833,21984.384615384664
