故障类型,诊断时延ms,误报率百分比,漏报率百分比,融合是否开启,统计次数
名义工况,0,1.85,6.67,是,30
推力降级,224,0.00,3.33,是,30
TVC速率限制,280,0.00,4.76,是,21
TVC卡滞,168,0.85,5.00,是,20
传感器偏置,280,0.00,0.00,是,30
事件延迟,336,1.53,0.00,是,7
平均值,214,0.70,3.29,是,138
