故障类别,精确率(窗口),召回率(窗口),F1分数(窗口),召回率(飞行)
名义工况,0.9153,0.8640,0.8889,0.9333
推力降级,1.0000,0.9643,0.9818,0.9667
TVC速率限制,1.0000,0.9744,0.9870,0.9524
TVC卡滞,0.9444,0.8500,0.8947,0.9500
传感器偏置,1.0000,1.0000,1.0000,1.0000
事件延迟,0.3462,1.0000,0.5143,1.0000
平均值,0.8676,0.9421,0.8778,0.9671
