iter_idx,total_cost,cost_state,cost_control,cost_slack,cost_terminal,feas_violation,max_slack_q,max_slack_n,max_slack_cone,term_error_norm,trust_radius,solver_status,rho,cost_nominal,cost_candidate
0,1178.3202593901592,4.059867178674147e-07,1.62359822719029e-07,1178.3202588218126,0.0,3.8218717756921095,0.0,3.8218717756921095,0.0,5.7992970483859334e-05,125.0,optimal,-0.16235982271902902,0.0,1.62359822719029e-07
1,1178.3202593767533,3.8347087094711017e-07,1.5324209248732967e-07,1178.3202588400402,0.0,3.82187177571351,0.0,3.82187177571351,0.0,5.6361039118808756e-05,62.5,optimal,-0.1532420924873297,0.0,1.532420924873297e-07
2,1178.3202593006474,2.5991194320790605e-07,1.0402381713004091e-07,1178.3202589367118,0.0,3.821871775827006,0.0,3.821871775827006,0.0,4.647807925904551e-05,31.25,optimal,-0.10402381713004093,0.0,1.0402381713004092e-07
3,1178.3202594328184,4.536714903576275e-07,1.7904233942269473e-07,1178.3202588001045,0.0,3.8218717756666463,0.0,3.8218717756666463,0.0,6.139050664509225e-05,15.625,optimal,-0.17904233942269476,0.0,1.7904233942269475e-07
4,1178.3202593188696,2.785124293208826e-07,1.0964321432701734e-07,1178.3202589307139,0.0,3.821871775819979,0.0,3.821871775819979,0.0,4.8105164030778084e-05,10.0,optimal,-0.10964321432701733,0.0,1.0964321432701733e-07
5,1178.3202596448218,7.626649050759227e-07,3.00385551795923e-07,1178.3202585817714,0.0,3.8218717754103646,0.0,3.8218717754103646,0.0,7.952960238076759e-05,10.0,optimal,-0.30038555179592297,0.0,3.0038555179592294e-07
6,1178.3202596448218,7.626649050759227e-07,3.00385551795923e-07,1178.3202585817714,0.0,3.8218717754103646,0.0,3.8218717754103646,0.0,7.952960238076759e-05,10.0,optimal,-0.30038555179592297,0.0,3.0038555179592294e-07
7,1178.3202596448218,7.626649050759227e-07,3.00385551795923e-07,1178.3202585817714,0.0,3.8218717754103646,0.0,3.8218717754103646,0.0,7.952960238076759e-05,10.0,optimal,-0.30038555179592297,0.0,3.0038555179592294e-07
