iter_idx,total_cost,cost_state,cost_control,cost_slack,cost_terminal,feas_violation,max_slack_q,max_slack_n,max_slack_cone,term_error_norm,trust_radius,solver_status,rho,cost_nominal,cost_candidate
0,938.1509290537618,5.901421863583136e-07,1.6249939433431684e-07,938.1509283011203,0.0,3.588459081974048,0.0,3.588459081974048,0.0,7.052011427276891e-05,125.0,optimal,-0.16249939433431684,0.0,1.6249939433431684e-07
1,938.1509290575003,5.948164731916272e-07,1.636398821868306e-07,938.1509282990439,0.0,3.588459081971086,0.0,3.588459081971086,0.0,7.07850870690869e-05,62.5,optimal,-0.16363988218683065,0.0,1.6363988218683064e-07
2,938.1509290280535,5.561387170099903e-07,1.5264884514541216e-07,938.150928319266,0.0,3.588459081999921,0.0,3.588459081999921,0.0,6.842514626146905e-05,31.25,optimal,-0.1526488451454122,0.0,1.5264884514541218e-07
3,938.1509289206808,4.458348030019652e-07,1.1880284214602909e-07,938.1509283560432,0.0,3.5884590820523727,0.0,3.5884590820523727,0.0,6.12813084537252e-05,15.625,optimal,-0.11880284214602907,0.0,1.1880284214602907e-07
4,938.150929099914,6.267307510486064e-07,1.5999361392877917e-07,938.1509283131896,0.0,3.5884590819912914,0.0,3.5884590819912914,0.0,7.244878483867435e-05,10.0,optimal,-0.15999361392877923,0.0,1.5999361392877922e-07
5,938.1509291748957,6.93745930416077e-07,1.7414398162228428e-07,938.1509283070059,0.0,3.588459081982476,0.0,3.588459081982476,0.0,7.601261083661834e-05,10.0,optimal,-0.1741439816222843,0.0,1.741439816222843e-07
6,938.1509291748957,6.93745930416077e-07,1.7414398162228428e-07,938.1509283070059,0.0,3.588459081982476,0.0,3.588459081982476,0.0,7.601261083661834e-05,10.0,optimal,-0.1741439816222843,0.0,1.741439816222843e-07
7,938.1509291748957,6.93745930416077e-07,1.7414398162228428e-07,938.1509283070059,0.0,3.588459081982476,0.0,3.588459081982476,0.0,7.601261083661834e-05,10.0,optimal,-0.1741439816222843,0.0,1.741439816222843e-07
